FORGAP	FDR	file:	start	day	134			
9								
timesteps								
RelHum								
Temp								
Wind								
Press								
Cloud								
Rain								
dayno								
time								
442	84.4	29.33	0.405	1006	0.9	0	165	10
443	75.3	30.01	0.393	1006	0.72	0	165	11
444	80.2	31.12	0.551	1005	0.87	0	165	12
445	69.9	32.12	0.648	1003	0.95	0	165	13
446	61.33	31.89	0.462	1002	0.76	0	165	14
447	66.01	32.37	0.507	1001	0.93	0	165	15
448	69.89	32.34	0.358	1001	1	0	165	16
449	71	29.77	0.158	1001	0.99	4.2	165	17
450	79.4	28.5	0.05	1002	0.62	1.2	165	18
451	92	27.18	0	1004	0	0	165	19
452	99.1	24.52	0.596	1005	0	0.2	165	20
453	99.5	24.54	0.335	1006	0	0	165	21
454	99.6	24.72	0.062	1007	0	0	165	22
455	99.7	24.74	0.027	1007	0	0	165	23
456	99.7	24.61	0.021	1006	0	0	166	0
457	99.8	24.52	0.157452	1006	0	0	166	1
458	99.8	24.39	0.149639	1005	0	0	166	2
459	99.8	24.31	0.144831	1005	0	0.2	166	3
460	99.8	24.46	0.153846	1005	0	0	166	4
461	99.8	24.44	0.152644	1005	0	0	166	5
462	99.8	24.41	0.150841	1006	0	0	166	6
463	99.8	24.76	0.171876	1006	1	0	166	7
464	99.7	25.65	0.103	1007	0.72	0	166	8
465	94.9	27.18	0.233	1007	0.67	0	166	9
466	85.7	28.91	0.511	1006	0.93	0	166	10
467	83.4	30.26	0.547	1006	1	0	166	11
468	80.2	30.43	0.427	1005	0.72	0	166	12
469	65.56	32.29	0.645	1003	0.91	0	166	13
470	60.6	32.96	0.508	1002	0.88	0	166	14
471	63.2	31.61	0.379	1001	0.88	0	166	15
472	65.88	32.19	0.366	1001	1	0	166	16
473	78.1	29.18	0.286	1001	0.81	0	166	17
474	86	27.39	0.163	1002	0.66	0	166	18
475	92.3	25.87	0.035	1003	0	0	166	19
476	97.2	25.02	0.002	1004	0	0	166	20
477	98	24.66	0.002	1005	0	0	166	21
478	98.8	24.62	0.067	1006	0	1	166	22
479	98.8	24.46	0.035	1006	0	0.2	166	23
480	99	24.59	0.049	1006	0	0	167	0
481	99	24.43	0.068	1005	0	0	167	1
482	99.4	24.21	0.041	1005	0	0	167	2
483	99.5	23.87	0.012	1005	0	0	167	3
484	99.6	23.8	0.11418	1005	0	0	167	4
485	99.7	23.56	0.099756	1006	0	0	167	5
486	99.7	23.33	0.085933	1006	0	0	167	6
487	99.8	23.98	0.124998	1006	1	0	167	7
488	99.7	25.36	0.207936	1007	0.58	0	167	8
489	88.9	27.91	0.3	1007	0.76	0	167	9
490	87.5	28.92	0.277	1006	0.57	0	167	10
